故障模式分类及影响分析											重要故障分析		故障处理分析				断点续训恢复	故障注入分析				故障诊断分析						遗留问题		TOP20	TOP20-PR合入		可测试	错误码								错误码说明		故障模式支持情况（MindCluster维护）		
模式编号	模式名称	一级	二级	三级	四级	五级	故障原因	故障影响	故障分类	场景分类	关键故障(影响)	典型故障(频次)	检测机制	模块处理	*系统处理	恢复等级	断点续训恢复	故障可构造	故障构造（ut测试/修改配置/侵入式修改代码/白盒测试）	"具体构造方法
1.全自动化ut/半自动化ut
2.描述清楚具体修改的配置文件和修改方法
3.描述清楚具体修改文件的位置和代码行，以代码仓为准
4.描述清楚故障日志具体涉及的代码行，以代码仓为准"	构造方法	故障定位方法	故障关键日志	故障日志自验结果	下级模式编号	检测使能条件				-				固定部分	组件编码	错误等级（E/C）	子组件编码	特性编码	错误类型	错误码	错误码枚举	LLM的组件编号是05	备注	Ascend-FaultDiag是否支持	开始支持版本	解析的关键日志
AI_MINDIE_LLM_LLMBACKEND_1	BackendConfig配置参数校验失败	AI软件	MINDIE	LLM	LLM Backend	平台软件	配置参数不合法	服务启动失败	启动失败	系统启动异常	否	否	/usr/local/Ascend/mindie/latest/mindie-service/logs/mindieservice.log	退出	记录错误日志,退出		不涉及	否	白盒测试	src/llm_infer_engine/llm_infer_engine.cpp：136至140行	修改配置文件中的npuDeviceIds和modelInstanceNumber，使二者不相等。(按照里面的构造去走的话，前一级就会被校验住，不会触发这个故障日志，所以白盒验证）	查看故障日志	"The number of model Instances(${modelInstanceNumber}) does not match the size of npuDeviceIds(${npuDeviceIds.size()}) in config.json."；	自验通过		正常运行		日志标准同步给server		Y	是		否	MIE	5	E	4	0	0	MIE05E040000	BACKEND_CONFIG_INVALID			是	630	['MIE05E040000']
AI_MINDIE_LLM_LLMBACKEND_2	请求推理失败：校验InputId大小失败	AI软件	MINDIE	LLM	LLM Backend	平台软件	请求中的InputIds不合法	请求推理失败	功能异常	功能异常	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志		不涉及	是			输入的input ids中含有超过词表大小的id	查看故障日志	Detected input ID(${id}) exceeding vocabulary size (${g_vocabSize}).			用户级调用				存疑			是	MIE	5	E	4	0		MIE05E0400				否		
AI_MINDIE_LLM_LLMBACKEND_3	LLMInferModels初始化失败	AI软件	MINDIE	LLM	LLM Backend	平台软件	LLMInferEngine初始化失败	服务启动失败	启动失败	系统启动异常	否	否	/usr/local/Ascend/mindie/latest/mindie-service/logs/mindieservice.log	退出	记录错误日志,退出		不涉及	否	侵入式修改代码	1. pip show model_wrapper 2. 侵入式修改model_wrapper 下的 model.py 如备注(AR列)所示	LLMInferModel被重复初始化或ModelInstance初始化失败；	查看故障日志	"LLMInferEngine initialize LLMInferModels failed.please check the error stacks for more details."	#NAME?		开发调试		日志标准同步给server		Y	是		否	MIE	5	E	4	0	1	MIE05E040001	BACKEND_INIT_FAILED	错误等级说明：E:ERROR;C:CRITICAL	#NAME?	是	630	['MIE05E040001']
AI_MINDIE_LLM_LLMBACKEND_4	请求推理失败：传入的InputIds含空指针	AI软件	MINDIE	LLM	LLM Backend	平台软件	请求中的InputIds为空	请求推理失败	功能异常	功能异常	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志		不涉及	是			API调用场景下InputIds中的data指针为空	查看故障日志	"The data in the INPUT_IDS tensor is null."			"用户级调用
开发调试"				存疑				MIE	5	E	4	0		MIE05E0400				否		
AI_MINDIE_LLM_LLMBACKEND_5	请求推理失败：校验maxOutputLen失败	AI软件	MINDIE	LLM	LLM Backend	平台软件	请求中的maxOutputLen不合法	请求推理失败	功能异常	功能异常	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志		不涉及	是			请求中的maxOutputLen为0	查看故障日志	"Failed to set maxOutputLen for runtimeRequest."			用户级调用				存疑			否	MIE	5	E	4	0		MIE05E0400				否		
AI_MINDIE_LLM_LLMMANAGER_1	模型配置参数（ModelDeployConfig）校验失败	AI软件	MINDIE	LLM	LLM Manager	平台软件	配置参数不合法	服务启动失败	启动失败	系统启动异常	是	是	/usr/local/Ascend/mindie/latest/mindie-service/logs/mindieservice.log	退出	记录错误日志,退出		不涉及	是	修改配置	"涉及 ModelDeployConfig参数：
1 maxSeqLen需要大于0，配置config.json中maxseqlen为0；
2 worldSize必须要大于0，配置配置config.json中worldSizen为0；
3 backendType只能为“atb”和""ms""， 配置config.json中worldSize为“xxx”；
4 npuMemSize不能为0 不能小于-1，配置npuMemSize为-2"	"涉及 ModelDeployConfig参数：
1 maxSeqLen需要大于0，配置config.json中maxseqlen为0；
2 worldSize必须要大于0，配置配置config.json中worldSizen为0；
3 backendType只能为“atb”和""ms""， 配置config.json中worldSize为“xxx”；
4 npuMemSize不能为0 不能小于-1，配置npuMemSize为-2
按上述配置即可构造异常"	查看故障日志(不涉及日志，看打屏信息）	"1.""The value of maxSeqLen in ModelDeployConfig in config.json is "" <<
modelParam.maxSeqLen << ""it should be be greater than 0, please set maxSeqLen greater than 0""
2 ""The value of worldSize in ModelDeployConfig in config.json is"" <<
modelParam.worldSize << ""it should be be greater than 0, please set worldSize greater than 0""
3.""The value of backendType in ModelDeployConfig in config.json is"" <<
modelParam.backendType << ""it should be ""atb"" or ""ms"", please set backendType to ""atb"" or ""ms""s
4.""The value of npuMemSize in ModelDeployConfig in config.json is "" <<
modelParam.npuMemSize << ""it should be within (0, 4294967295] or -1"" <<
""please set npuMemSize in config.json within (0, 4294967295] or -1"""	自验通过		正常运行		能否提供一个公共函数校验安全问题：url；反斜杠；隐私信息，...		Y	已合入		是	MIE	5	E	3	0	0	MIE05E030000	LLM_MANAGER_CONFIG_FAILED			是	630	['MIE05E030000']
AI_MINDIE_LLM_LLMMANAGER_2	请求推理参数校验失败	AI软件	MINDIE	LLM	LLM Manager	平台软件	请求推理参数校	请求推理失败	功能异常	功能异常	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志		不涉及	是			输入含有超过词表大小的id即可触发；	查看故障日志	"""This model's maximum input ids length cannot be greater than maxSeqLen"" +
            ""] must <= maxSeqLen from model: "" + std::to_string(g_maxSeqLen);
            std::to_string(g_maxSeqLen) + "","" + ""the input ids length is"" + inputTokenSize"			用户级调用				存疑			是	MIE	5	E	3	0		MIE05E0300		子组件编码：00：ATB-Models 02:BatchScheduler  01:Text Generator 03:LLM Manager 04:LLM-Backend		否		
AI_MINDIE_LLM_LLMMANAGER_3	初始化modelbackend失败	AI软件	MINDIE	LLM	LLM Manager	平台软件	底层模型初始化失败	服务启动失败	启动失败	系统启动异常	否	否	/usr/local/Ascend/mindie/latest/mindie-service/logs/mindieservice.log	退出	记录错误日志,退出		不涉及	否	白盒测试	src/llm_manager/executor/llm_manager/utils/llm_infer_model_instance.cpp：46至49行	较难构造 一般出现于版本不匹配可能出现 建议白盒测试	下层模块异常，llmanager记录错误日志，需要查看BatchShedule和模型侧故障日志	"""Initialize modelBackends_ failed"" <<
            ""export MINDIE_LLM_PYTHON_LOG_TO_STDOUT=1  export MINDIE_LLM_PYTHON_LOG_TO_FILE=1 to find error in pythonlog"""	#NAME?		正常运行		佑宇进行确认		Y	已合入			MIE	5	E	3	0	1	MIE05E030001	LLM_MANAGER_INIT_FAILED		#NAME?	是	630	['MIE05E030001']
AI_MINDIE_LLM_LLMMANAGER_4	执行请求推理失败	AI软件	MINDIE	LLM	LLM Manager	平台软件	下层执行推理失败	请求推理失败	功能异常	功能异常	否	否	~/mindie/log/debug/mindie-llm_{pid}_{time}.log	记录错误日志	记录错误日志		不涉及	否				modelbackend执行失败，查看BatchShedul故障日志	model instance executed requests failed			用户级调用				存疑				MIE	5	E	3	0		MIE05E0300				否		
